ID,username,InTime,OutTime,total_work_minutes,cumalative_work_minutes,device_id,group_id,employee_id
6337,ba,2024-01-03 05:34:02+00:00,2024-01-02 18:00:00+00:00,0,0,DmcGate10,Group object (2),test_dmc21
6338,ba,2024-01-03 05:34:02+00:00,2024-01-02 11:42:51+00:00,0,0,DmcGate10,Group object (2),test_dmc21
6339,rezvi,2024-01-03 05:01:19+00:00,2024-01-02 18:00:00+00:00,0,0,DmcGate10,Group object (2),1
6340,rezvi,2024-01-03 05:01:19+00:00,2024-01-02 12:00:36+00:00,0,0,DmcGate10,Group object (2),1
6341,da,2024-01-03 04:47:02+00:00,2024-01-02 18:00:00+00:00,0,0,DmcGate10,Group object (2),test_dmc41
6342,da,2024-01-03 04:47:02+00:00,2024-01-03 03:14:58+00:00,0,0,DmcGate10,Group object (2),test_dmc41
6343,ea,2024-01-03 04:45:04+00:00,2024-01-02 18:00:00+00:00,0,0,DmcGate10,Group object (2),test_dmc51
6344,ea,2024-01-03 04:45:04+00:00,2024-01-02 10:41:38+00:00,0,0,DmcGate10,Group object (2),test_dmc51
6345,ja,2024-01-03 04:36:41+00:00,2024-01-02 18:00:00+00:00,0,0,DmcGate10,Group object (2),test_dmc91
6346,ja,2024-01-03 04:36:41+00:00,2024-01-03 02:10:52+00:00,0,0,DmcGate10,Group object (2),test_dmc91
6347,da,2024-01-03 03:14:58+00:00,2024-01-02 05:44:52+00:00,0,0,DmcGate10,Group object (2),test_dmc41
6348,ja,2024-01-03 02:10:52+00:00,2024-01-02 13:26:25+00:00,0,0,DmcGate10,Group object (2),test_dmc91
6349,ja,2024-01-02 13:26:25+00:00,2024-01-02 12:33:21+00:00,0,0,DmcGate10,Group object (2),test_dmc91
6350,ja,2024-01-02 12:33:21+00:00,2024-01-02 11:50:22+00:00,0,0,DmcGate10,Group object (2),test_dmc91
6351,aa,2024-01-02 12:13:30+00:00,2024-01-02 18:00:00+00:00,0,0,DmcGate10,Group object (2),test_dmc11
6352,aa,2024-01-02 12:13:30+00:00,2024-01-02 12:13:30+00:00,0,0,DmcGate10,Group object (2),test_dmc11
6353,aa,2024-01-02 12:13:30+00:00,2024-01-02 11:47:56+00:00,0,0,DmcGate10,Group object (2),test_dmc11
6354,rezvi,2024-01-02 12:00:36+00:00,2024-01-02 07:42:23+00:00,0,0,DmcGate10,Group object (2),1
6355,ja,2024-01-02 11:50:22+00:00,2024-01-01 14:36:53+00:00,0,0,DmcGate10,Group object (2),test_dmc91
6356,aa,2024-01-02 11:47:56+00:00,2024-01-02 10:17:47+00:00,0,0,DmcGate10,Group object (2),test_dmc11
6357,ba,2024-01-02 11:42:51+00:00,2024-01-01 11:49:03+00:00,0,0,DmcGate10,Group object (2),test_dmc21
6358,Miraz,2024-01-02 11:42:10+00:00,2024-01-02 18:00:00+00:00,0,0,DmcGate10,Group object (23),DMC2
6359,Miraz,2024-01-02 11:42:10+00:00,2024-01-02 10:41:35+00:00,0,0,DmcGate10,Group object (23),DMC2
6360,ea,2024-01-02 10:41:38+00:00,2024-01-02 10:35:55+00:00,0,0,DmcGate10,Group object (2),test_dmc51
6361,Miraz,2024-01-02 10:41:35+00:00,2024-01-02 10:41:32+00:00,0,0,DmcGate10,Group object (23),DMC2
6362,Miraz,2024-01-02 10:41:32+00:00,2024-01-01 11:20:08+00:00,0,0,DmcGate10,Group object (23),DMC2
6363,ea,2024-01-02 10:35:55+00:00,2024-01-02 10:35:52+00:00,0,0,DmcGate10,Group object (2),test_dmc51
6364,ea,2024-01-02 10:35:52+00:00,2024-01-02 10:35:49+00:00,0,0,DmcGate10,Group object (2),test_dmc51
6365,ea,2024-01-02 10:35:49+00:00,2024-01-02 10:03:28+00:00,0,0,DmcGate10,Group object (2),test_dmc51
6366,adsfgsd,2024-01-02 10:32:57+00:00,2024-01-02 18:00:00+00:00,0,0,DmcGate10,Group object (2),DMC200
6367,adsfgsd,2024-01-02 10:32:57+00:00,2024-01-02 10:25:27+00:00,0,0,DmcGate10,Group object (2),DMC200
6368,adsfgsd,2024-01-02 10:25:27+00:00,2024-01-02 10:25:24+00:00,0,0,DmcGate10,Group object (2),DMC200
6369,adsfgsd,2024-01-02 10:25:24+00:00,2024-01-02 08:07:00+00:00,0,0,DmcGate10,Group object (2),DMC200
6370,aa,2024-01-02 10:17:47+00:00,2024-01-02 08:07:20+00:00,0,0,DmcGate10,Group object (2),test_dmc11
6371,ea,2024-01-02 10:03:28+00:00,2024-01-02 09:23:54+00:00,0,0,DmcGate10,Group object (2),test_dmc51
6372,ea,2024-01-02 09:23:54+00:00,2024-01-02 08:40:17+00:00,0,0,DmcGate10,Group object (2),test_dmc51
6373,ea,2024-01-02 08:40:17+00:00,2024-01-02 08:36:36+00:00,0,0,DmcGate10,Group object (2),test_dmc51
6374,ea,2024-01-02 08:36:36+00:00,2024-01-02 08:07:49+00:00,0,0,DmcGate10,Group object (2),test_dmc51
6375,ea,2024-01-02 08:07:49+00:00,2024-01-02 07:43:07+00:00,0,0,DmcGate10,Group object (2),test_dmc51
6376,aa,2024-01-02 08:07:20+00:00,2024-01-02 07:09:20+00:00,0,0,DmcGate10,Group object (2),test_dmc11
6377,adsfgsd,2024-01-02 08:07:00+00:00,2024-01-01 11:54:19+00:00,0,0,DmcGate10,Group object (2),DMC200
6378,ca,2024-01-02 08:06:15+00:00,2024-01-02 18:00:00+00:00,0,0,DmcGate10,Group object (2),test_dmc31
6379,ca,2024-01-02 08:06:15+00:00,2024-01-02 07:14:25+00:00,0,0,DmcGate10,Group object (2),test_dmc31
6380,ea,2024-01-02 07:43:07+00:00,2024-01-02 07:10:09+00:00,0,0,DmcGate10,Group object (2),test_dmc51
6381,rezvi,2024-01-02 07:42:23+00:00,2024-01-02 07:30:40+00:00,0,0,DmcGate10,Group object (2),1
6382,rezvi,2024-01-02 07:30:40+00:00,2024-01-02 04:54:26+00:00,0,0,DmcGate10,Group object (2),1
6383,ca,2024-01-02 07:14:25+00:00,2024-01-02 04:51:40+00:00,0,0,DmcGate10,Group object (2),test_dmc31
6384,ea,2024-01-02 07:10:09+00:00,2024-01-02 06:18:28+00:00,0,0,DmcGate10,Group object (2),test_dmc51
6385,aa,2024-01-02 07:09:20+00:00,2024-01-02 07:01:55+00:00,0,0,DmcGate10,Group object (2),test_dmc11
6386,aa,2024-01-02 07:01:55+00:00,2024-01-01 11:59:57+00:00,0,0,DmcGate10,Group object (2),test_dmc11
6387,ea,2024-01-02 06:18:28+00:00,2024-01-02 05:48:34+00:00,0,0,DmcGate10,Group object (2),test_dmc51
6388,ea,2024-01-02 05:48:34+00:00,2024-01-02 05:42:47+00:00,0,0,DmcGate10,Group object (2),test_dmc51
6389,da,2024-01-02 05:44:52+00:00,2024-01-02 03:11:54+00:00,0,0,DmcGate10,Group object (2),test_dmc41
6390,ea,2024-01-02 05:42:47+00:00,2024-01-01 11:52:09+00:00,0,0,DmcGate10,Group object (2),test_dmc51
6391,rezvi,2024-01-02 04:54:26+00:00,2024-01-02 03:13:14+00:00,0,0,DmcGate10,Group object (2),1
6392,ca,2024-01-02 04:51:40+00:00,2024-01-01 12:00:39+00:00,0,0,DmcGate10,Group object (2),test_dmc31
6393,rezvi,2024-01-02 03:13:14+00:00,2024-01-02 03:12:10+00:00,0,0,DmcGate10,Group object (2),1
6394,rezvi,2024-01-02 03:12:10+00:00,2024-01-02 03:11:39+00:00,0,0,DmcGate10,Group object (2),1
6395,da,2024-01-02 03:11:54+00:00,2024-01-01 12:14:00+00:00,0,0,DmcGate10,Group object (2),test_dmc41
